 do not satisfy 	 is not consistent with 
 you do not wish to 	 you do not intend to 
 not to participate 	 not to take part 
 do n't like to 	 'm not going to 
 it 's not too late 	 it is n't too late 
 not forget that 	 be remembered that the 
 or the 	 is not part of the 
 as it is impossible 	 since it is not possible 
 are still being 	 have not yet 
 been known yet 	 was not known 
 not be found 	 not be located 
 not at all 	 none taken 
 - and you saw this happen 	 -did you not 
 should remember that 	 must not forget that 
 is no longer 	 did not 
 but this is not the 	 but it 's not 
 never had any 	 not been any 
 will not replace 	 does not change 
 yes , now 	 not checking in , yes 
 did n't do anything 	 'm not doing this 
 do not believe that a 	 considering that such 
 nothing to 	 not 
 i 'm not following 	 i do n't follow 
 , it was n't a 	 , it 's not a 
 has not already 	 has hardly 
 approved by the 	 that is not contrary to the 
 duty not to 	 obligations do not 
 not opposed 	 not object to 
 does not end 	 should not be limited 
 's not even my 	 is not even my 
 - you were ? 	 - it 's not ? 
 's ever 	 has not previously 
 answer is no 	 no , it 's not 
 be included 	 include not only 
 have no choice 	 is not possible 
 not telling 	 'il tell them 
 does not aim to 	 does not 
 i do not understand 	 i 'm confused 
 n't say that 	 not say you are fat 
 not to amend 	 not to modify 
 not meet the requirements 	 comply with the requirements 
 are not compatible with 	 fails to meet 
 are we not ? 	 do n't ya ? 
 can be implemented only 	 can not but 
 european union , and not 	 eu , not 
 i 'm serious , now 	 i 'm not kidding 
 not addressed in 	 not provided for in 
 's not in the 	 is not the 
 are we 	 we 're not 
 has not established that 	 has failed to establish that 
 not deceive ourselves 	 not fool ourselves 
 does not exclude 	 does not prevent 
 's not safe for 	 is not safe for 
 even in america 	 no , not that i noticed 
 not change 	 not going to 
 did not reply 	 did n't answer 
 does not fulfil the 	 did not meet the 
 obligations with respect 	 obligations not 
 would not exceed 	 would be limited to 
 , there was no need to 	 , it is not necessary 
 're gonna stay 	 're not going 
 not meant 	 not of a 
 has not provided 	 did not offer 
 shortcomings of 	 there are not enough 
 we failed to 	 we did not manage to 
 -lrb- not only 	 -lrb- not just 
 shall be regarded as not voting 	 are considered as not voting 
 not to deploy 	 are away from 
 i disagree 	 i do not agree 
 told you not 	 should n't have 
 existence for 	 or not there is 
 , not only in 	 , not just on 
 were not enough 	 is more 
 no , it is not . 	 it is n't . 
 'm in here 	 'm not going anywhere 
 are unable 	 can not be allowed to 
 but i am not sure 	 but i 'm not sure 
 would n't have been 	 would not be 
 have not yet done so to 	 have not 
 can not simply be 	 is impossible 
 is no more 	 's not 
 not go 	 not given 
 is insignificant 	 is not significant 
 we are not in favour of 	 we do not support 
 lacks 	 not 
 it will not be 	 is simply not 
 not be fully 	 not entirely 
 tend to be 	 are often not 
 and you do not have 	 and you did n't 
 , inter alia 	 including , but not limited 
 is not covered by 	 does not apply to 
 this is not just 	 that is not 
 is therefore no surprise that 	 is not surprising that 
 wo n't do it 	 'm not doing it 
 shall be at least 	 is not less than 
 does n't even know that 	 does not know that 
 this ca n't be 	 that is not possible 
 one can 	 we are not able to 
 does not generate 	 does not constitute 
 listen to me , please 	 you 're not listening 
 -lrb- not applicable -rrb- 	 -lrb- left void -rrb- 
 - no , you ca n't 	 - no , i did not 
 yes , i am 	 i 'm not 
 i did n't see it . 	 no , we 're not . 
 that i do n't understand 	 that i do not understand 
 not be limited to 	 not confined to 
 -oh , no 	 not 
 okay , yeah . 	 not checking in , yes . 
 are not up 	 is not enough 
 , you do n't 	 , there does not 
 can not afford to 	 is no 
 's interests , 	 interests not only 
 does not contest that 	 does not deny that 
 was n't there 	 's not here 
 not let them 	 not allow them 
 not ready 	 not going to 
 i was n't there 	 i 'm not here 
 no later than 2001 	 not later than the year 2001 
 it must not be forgotten 	 we should remember 
 not in a 	 is without 
 ca n't be serious 	 is not an option 
 do n't tell me you 	 'm not saying you 
 had either not been 	 was not 
 should n't be here 	 'm not supposed to be here 
 's not that simple . 	 's not that easy . 
 be unreasonable 	 is not reasonable 
 not been solved 	 not been resolved 
 no way that 's a song 	 i 'm not worried at all 
 the rule , not the 	 the rule rather than the 
 yes , he does 	 no , it 's not 
 and i 'm not going 	 and i ca n't 
 whether it is really 	 whether or not they are 
 will not be accepted 	 will be rejected 
 it has n't ended yet 	 it 's not over yet 
 has failed to show that 	 has not shown that 
 was bad 	 is not a good 
 do not understand 	 did not involve 
 's not uncommon for 	 is not uncommon for 
 are not applicable . 	 do not apply . 
 is not required when 	 need not be met where 
 difficult to find 	 it is difficult not 
 would like to know 	 can not help wondering 
 do not appear to 	 does n't 
 is not what 	 's not the way 
 -lrb- non institute 	 -lrb- not employed at an institute 
 not in favour 	 not support 
 there 's not much time 	 - there she is 
 where it is not possible 	 when you ca n't 
 has chosen not to 	 opted not 
 's not okay . 	 is okay . 
 that it does not need 	 that it is not necessary 
 expressing his belief that 	 do not doubt that 
 it 's just not fair . 	 this is n't fair . 
 do not reveal 	 do not disclose 
 you 're not gonna 	 you 're not 
 is not really 	 ai n't 
 but not exceeding 	 but less than 
 not think it 	 considers that it is 
 decided to refer 	 decides not 
 if not otherwise stated 	 unless indicated otherwise 
 not just that 	 not only that 
 without excluding 	 not excluding 
 who has not 	 who are unable 
 am not like 	 'm just not like 
 - i do 	 i 'm not doing 
 it is important to remember that 	 it should not be forgotten that 
 be determined whether 	 assess whether or not 
 we do not allow 	 we do not let 
 is not explicitly 	 is not expressly 
 learning about 	 not aware 
 's not me . 	 is n't me . 
 act only 	 act does not 
 because i do not believe 	 because i do not think 
 that are incompatible with 	 which are not compatible with 
 no longer have to 	 it is not necessary to 
 can we 	 is not able 
 it 's true , man 	 no , i 'm not kidding 
 resolution did not 	 decision no 
 it do n't matter 	 it matters not 
 has not been demonstrated 	 was not shown 
 neither can 	 are not 
 not suck 	 nothing , guys 
 will be impossible to 	 are not able to 
 and do not represent 	 and do not constitute 
 even thousands 	 if not thousands 
 not prevent 	 not preclude 
 never did 	 no , i 'm not 
 but do n't 	 but it was not 
 who are not entitled 	 that do not qualify 
 are n't you supposed to 	 you should not 
 had not responded 	 was not included 
 matter has not 	 point is not 
 not contained 	 do not appear 
 , appears to be 	 not seem to 
 is not produced in 	 is not manufactured in 
 does n't come back 	 's not coming back 
 may not be the 	 is neither the 
 convention does not 	 convention only 
 , and not in 	 rather than in 
 because he did n't 	 because he had not 
 remains , 	 is still not 
 you must be joking 	 you 're not serious 
 are not found 	 are not listed 
 you 're wrong 	 i 'm not worried at all 
 not competitive 	 uncompetitive 
 be insufficient 	 does not suffice 
 wo n't have to 	 will not have to 
 was unlikely that 	 is not expected that 
 's not in his character . 	 just was not like him . 
 do not participate 	 is not present 
 i did not receive 	 i have n't received 
 which is not in conformity 	 that does not conform 
 did not violate 	 are in violation of 
 not exist . 	 is not . 
 it is not possible for 	 can not help 
 not her 	 simply is n't true 
 'm not ! 	 'm not lying ! 
 findings are not 	 results have not 
 but this is not 	 these are n't 
 considered that it was 	 do not believe that a 
 'm staying right here . 	 'm not going anywhere . 
 do not apply , 	 are not applicable 
 preferred not 	 chosen not 
 lacking a 	 there is not enough 
 moreover , there 	 not only is 
 not provided for in the 	 not covered by the 
 the complainants did not 	 the authors have not 
 do n't get to 	 're not allowed to 
 is n't real . 	 's not real ... 
 work properly 	 are not working 
 do not know whether you 	 do n't know if you 
 it is n't that simple 	 it 's not that easy 
 could 've been 	 could not 
 because there 	 since it does not 
 not be better 	 not be 
 are only available 	 is not available 
 not done yet 	 not done here 
 it 's not enough . 	 that 's not good enough . 
 n't gonna happen . 	 not happening . 
 even if it does not 	 though not 
 not to distort 	 not to deform 
 it is , however 	 it is not 
 have hardly 	 had still not been 
 , we would n't have 	 we would not have 
 " minimum 	 , but is not limited 
 is n't here 	 's not here 
 does not have anything to 	 's nothing to 
 , so as not 	 , in order not to 
 well , yeah 	 not checking in , yes 
 'm not armed . 	 am not armed . 
 will not remain 	 will be left 
 - -they are not 	 not the case 
 was no need to 	 is not necessary 
 not to be 	 it is not possible 
 will no longer 	 's not going 
 should not necessarily be 	 need not be 
 was lacking 	 is not there 
 are often not 	 are regularly 
 's none of 	 is not of 
 you ai n't dead 	 you 're not dead 
 has still 	 was not yet 
 would not have to 	 be required to 
 is unacceptable for 	 can not accept that 
 not inconsiderable 	 significant 
 ogres , yes 	 i mean , why not 
 rather not 	 ls n't 
 not anymore . 	 no longer . 
 - could n't be 	 justice ... ... is not possible 
 the complainant has failed 	 the applicant did not 
 is no mere 	 's not just a 
 that they should not 	 who does n't 
 had had to 	 can not fail to 
 unsustainable 	 not sustainable 
 would n't say that 	 'm not saying that 
 do not change the 	 do not replace the 
 and non-exhaustive 	 and not exhaustive 
 no , you did n't ! 	 no , it 's not ! 
 owen ... ... yeah 	 not checking in , yes 
 not finished yet 	 not over 
 , which is incompatible 	 not compatible 
 's not feeling 	 is n't feeling 
 that he did not 	 that he does n't 
 that we do not wish to 	 that we do not want to 
 must also not 	 does n't have 
 you are ? 	 - it 's not ? 
 you 're not working 	 you do n't work 
 is uncertain whether 	 'm not sure if 
 do n't really even know 	 is not known 
 not listening 	 n't listen 
 re not 	 are not 
 're trying to 	 try not 
 can not obtain 	 can not get 
 which are unable to 	 that they can not 
 fact that not 	 , which are not 
 if nothing 	 if you are not 
 we do not wish to 	 we do not want to 
 n't really a 	 not really a 
 - yes , it is 	 it is not the reason 
 not regularly 	 not consistently 
 'm not gay . 	 'm not a lesbian . 
 n't exist 	 not exist 
 no , i ca 	 - i am not 
 oh no 	 is not one 
 nevertheless , we 	 but we are not 
 hey , do n't 	 no , she did not go 
 something 's not right 	 something 's wrong 
 questions not 	 matters not 
 an even 	 not yet been 
 is not complete 	 is n't over yet 
 no , you have n't 	 no , it did not 
 authorised , 	 not authorized 
 'm wondering what 	 'm not sure what 
 not lead 	 not going to be 
 n't be doing this 	 not be doing this 
 were not allowed 	 not be 
 find no 	 there has not been any 
 - we are not 	 - it 's not 
 not only be 	 not just 
 act under 	 act is not 
 is neither 	 is not 
 do n't know if the 	 do not know whether the 
 of unfair 	 it is not fair 
 and it has not 	 however , he did not 
 could not find 	 managed to find 
 am not persuaded 	 am not satisfied 
 can do to 	 is not possible to 
 results for 	 not only for 
 's important 	 does not matter 
 are outside 	 not belonging to 
 , you could n't 	 you 're not allowed 
 , there should be no 	 , it is important not 
 n't enough 	 not been 
 do not guarantee 	 does not warrant 
 is independent of 	 is not dependent on 
 i did not 	 no , ma 'am 
 it ca n't be 	 it is not true 
 , although it is 	 , but is not 
 is not persuaded 	 is not satisfied 
 unsatisfactory 	 not satisfactory 
 - yes , no . 	 not checking in , yes . 
 'm just not like 	 am not like 
 setup was unable to 	 setup could not 
 it is not simply 	 is not just 
 are incapable of 	 can not 
 be approved 	 are not adopted 
 'm not hungry . 	 am not hungry . 
 would not object 	 was not opposed 
 was here 	 'm not going anywhere 
 do not provide 	 does not establish 
 n't done it yet 	 not already done so 
 are not suitable 	 did not apply 
 if you do n't know 	 if you are not sure 
 i 'm not scared , potter 	 i 'm not afraid 
 -it was n't 	 i 'm not the 
 it is not by chance that 	 it is no accident that 
 there was no need for 	 not to require 
 's not like what 	 is n't what 
 amendment relating 	 not accept amendment no 
 yeah , uh ... 	 not checking in , yes . 
 be restricted 	 is not limited 
 be no 	 not designed 
 - that 's not enough 	 it 's not good enough 
 is unknown . 	 is not known . 
 were free 	 did not exist 
 can not be compared 	 are not comparable 
 i do n't work 	 i 'm not working 
 hell , no 	 not 
 remember the 	 not be forgotten 
 'm not jealous . 	 am not jealous . 
 does not help to 	 does nothing to 
 although it did not 	 even if you do n't 
 oh , cheers 	 -try not to be so tense 
 if there 's 	 if there is not 
 well , not me 	 not me 
 ; including 	 including , but not limited 
 not to be a 	 it is not because 
 ca n't be the 	 is not the 
 're not , 	 sounds pretty 
 they have not yet done so 	 they have not already done so 
 who can not afford 	 who do not have the means 
 , and not to 	 , without having 
 not achieved 	 not provided 
 this is bad . 	 this is not good . 
 but it is no 	 that 's just not 
 we did not manage to 	 we failed to 
 does not concern 	 it is not about 
 , therefore , is not 	 is not 
 are considered 	 are deemed not 
 not been involved 	 not attend 
 you 're not under 	 you 're not in 
 do not mean 	 did not 
 , why do n't you 	 why are we not 
 is n't you 	 's not yours 
 did not hold 	 does not have any 
 you need to listen to me 	 you 're not listening 
 conditions were not 	 requirements are not 
 can not possibly 	 not going to 
 of failing to 	 of not being able to 
 the author does not 	 the complainant does not 
 but it is , 	 but it 's not 
 has been prohibited 	 is not permitted 
 there will not be 	 there wo n't be 
 it would not be necessary 	 there would be no need to 
 that it was not clear 	 that it was difficult 
 , but it does not 	 - although not 
 can not be addressed 	 can not be dealt with 
 's not exactly 	 are non 
 are exempted from 	 shall not be subject to 
 alone is not 	 , is n't that 
 i am not afraid 	 i 'm not 
 is limited 	 shall not exceed 
 yeah , she is . 	 no , it 's not . 
 the government would not 	 the administration will not 
 she ai n't 	 no , this is not 
 not only to 	 not just on 
 , is n't this 	 , you 're not 
 i am not a 	 i 'm not 
 not mind 	 n't mind me asking 
 not exceed 	 not limited 
 otherwise , i 	 if it is not , 
 was n't sleeping . 	 was not asleep . 
 needs to 	 is not expected to 
 ... is not 	 just is n't 
 a period of at least 	 a period of not less than 
 there is nothing 	 there does not 
 , there remains a 	 , there 's not 
 's not well 	 is wrong 
 were not under 	 are not subject to 
 the author failed to exhaust 	 the author did not exhaust 
 although the covenant does not 	 while the covenant does not 
 'm still gonna be 	 'm not going 
 not challenge the 	 not dispute the 
 -rrb- had not 	 still have not 
 was unaffected 	 shall not be affected 
 cost was 	 costs not 
 , i did n't 	 and i am not 
 that he does not believe 	 that he did not think 
 authorised by the 	 that is not contrary to the 
 are not enough 	 or part thereof 
 which may 	 who are not able 
 who have not yet been 	 that have not been 
 - you really are 	 - i 'm not 
 n't help me 	 not helping me 
 been much 	 , not less 
 - so this is 	 maybe not 
 and is not 	 without any 
 will not include 	 does not have 
 being careful not to damage 	 take care not to damage 
 decided not to 	 resolved to 
 something does n't feel right 	 it 's not right 
 being unable 	 can not be allowed to 
 minimum that 	 , but is not limited 
 i really will not 	 it really is n't 
 n't exactly 	 is not that 
 it 's a bad idea 	 this is not a good idea 
 got the wrong 	 's not the right 
 in particular 	 including but not limited 
 is not unique 	 is not specific 
 i 'm here . 	 i 'm not going anywhere . 
 happens 	 does not happen 
 no cheering me up 	 not been possible 
 fine of 	 fine not exceeding $ 
 remains unclear 	 was not certain 
 all done here 	 not doing it anymore 
 but not at the expense 	 but not at the cost 
 not already done so to 	 not done so 
 of without 	 however , he did not 
 not previously 	 there has never been 
 is not uncommon for 	 's not uncommon for 
 , we can not continue 	 , we can no longer 
 that have yet to 	 that have not done so 
 i 'm not leaving 	 i 'm not going 
 did not fall 	 was not present 
 that is not enough . 	 it 's not enough . 
 member states which do not 	 states which do not 
 are being met 	 are not exceeded 
 what changed your mind 	 why not liked 
 failed to retrieve 	 can not retrieve 
 should not be able to 	 should not be 
 're not moving . 	 do n't move . 
 - and when is that 	 if not now , when 
 not allowed . 	 not permitted . 
 , not my 	 is n't my 
 unjustified 	 was not justified 
 does not belong to the 	 is not up to the 
 lf it was n't for 	 if not for 
 , you did not 	 no , we do n't 
 resources , both 	 resources not 
 you 're not ? 	 there is ? 
 do not reflect the 	 are not in accordance with the 
 does n't just 	 is not just 
 is not much 	 has little real 
 has not been shown that 	 was not established that 
 no , it 's ok 	 no , i did not 
 can be ensured 	 can not be guaranteed 
 - nothing to 	 not supposed to 
 or not -rrb- 	 or otherwise -rrb- 
 not exceeding one 	 not exceeding 1 
 not the whole thing . 	 not everything . 
 list is not 	 but is not 
 i 'm not doing that 	 i wo n't do it 
 no , i don 't 	 no , i did not sleep 
 n't touch it 	 not touching the keys 
 has n't got 	 should not have 
 it 's not a good time 	 this is not the time 
 that is not listed 	 that is not 
 ' is not a 	 it 's not a 
 attempting to 	 try not to 
 -not anymore 	 - have you got a minute 
 that is right . 	 no , i do not . 
 will not result 	 will not lead 
 they 're not 	 not 
 this is n't over . 	 it 's not over . 
 if you are not certain 	 if you are not sure 
 they 're not soldiers 	 these are no soldiers 
 wo n't get 	 're not getting 
 you must n't . 	 i am not . 
 or indeed 	 is not even 
 no one , 	 person is not 
 not do 	 not yet done 
 , not to say impossible 	 , if not impossible 
 if you can not find 	 if you do n't find 
 i 'm not able 	 i am unable to 
 do not think that this 	 do not believe it 
 does not diminish 	 does not undermine 
 no use . 	 does not apply . 
 - not before time 	 well , are you 
 been any 	 question of whether or not 
 stop this 	 'm not doing this 
 does not use 	 do n't use 
 have not been officially 	 have not been formally 
 unsurprisingly 	 not surprisingly 
 that 's not the 	 it is not the 
 market is not 	 market place 
 not going anywhere 	 n't need to 
 are not on 	 not included in 
 's not even that 	 's not that 
 is unacceptable , 	 can not be accepted 
 do not have sufficient 	 is not less than 
 it was not feasible 	 it was not possible 
 was not in favour 	 does not agree 
 there had 	 still have not 
 not least through 	 , including through 
 not be regarded as 	 not qualify as 
 do not think that 	 contended that 
 period of not more than 	 period not exceeding 
 but i do n't want to 	 i 'm not doing 
 will no longer be possible 	 will not be possible 
 i do n't want to . 	 i 'm not doing this . 
 it was unlikely 	 it is not likely 
 i do 	 i 'm not doing 
 why we can not 	 because we can not 
 report not 	 report presented 
 n't say that either 	 not say you are fat 
 this is n't a game 	 it 's not a game 
 not running 	 currently stopped 
 'm just-hmm . 	 'm not fucking ... 
 should not be too 	 should n't be too 
 not be entitled to 	 not receive 
 'm just not ready . 	 'm not ready yet . 
 not opposed to 	 not against 
 , but it was n't 	 , but that 's not 
 that is n't true 	 it is not true 
 were obliged to 	 can not fail to 
 and you ai n't 	 , and you 're not 
 sorry , guys 	 sorry i did not 
 that he could not 	 that he is unable 
 - is that still lingering 	 oh , not again 
 , what the reasons are ; 	 , why not ; 
 have not been able 	 did not manage to 
 nobody is 	 , not one 
 could n't have been 	 would not be 
 are in violation of 	 did not violate 
 have not yet 	 were still 
 , has n't 	 has not 
 why not , bro 	 - does your shoulder bother you 
 does not provide any information 	 does not contain information 
 i would not be 	 i would n't be 
 -you ca n't 	 - you are not 
 does not seem to be 	 not appear 
 if the answer is no 	 if not 
 were contrary 	 are not consistent 
 not aware 	 really knows 
 not so good . 	 not very good . 
 to question whether 	 is whether or not 
 . it is not 	 , was n't it 
 shall be permitted 	 not be able to 
 not imposing 	 avoid imposing 
 it is impracticable to 	 it is not practicable 
 does not support the 	 is incompatible with the 
 to see whether 	 is whether or not 
 have left 	 'm not leaving 
 the parties are unable to 	 the parties can not 
 that we ca n't 	 that we can not 
 that no-one 	 that people are not 
 're not in a rush . 	 's not coming home . 
 could n't 	 was not possible 
 , then there 's 	 , there has not 
 , i 'm not okay 	 , it 's not okay 
 now received 	 did not receive 
 not worth 	 there is no need 
 is free from 	 are not covered by 
 it does not have a 	 does n't have a 
 no way , man 	 justice ... ... is not possible 
 of course i did n't 	 of course it 's not 
 - oh , yes . 	 not checking in , yes . 
 do n't forget the 	 not forgetting the 
 i 'm not interested 	 i ai n't buying your brand 
 is n't there ? 	 is he not ? 
 am nothing . 	 'm not anything . 
 , not all the 	 , not every 
 do n't wanna die 	 'm not doing this 
 question is not 	 problems are not 
 n't even know 	 not even know 
 conforms to 	 is not only in 
 , there does not appear to 	 , it does not seem 
 if this is not done 	 when that is not possible 
 no , actually , 	 is not , 
 is in favour of 	 does not support 
 , this is n't the 	 he 's not the 
 no , monsieur mercier 	 not after seeing you 
 i 'm home . 	 i 'm not going anywhere . 
 do n't start 	 'm not doing this 
 i 'm not celebrating 	 no , that 's it 
 ' no 	 not accepted 
 not see that coming 	 n't see that coming 
 no , sir , 	 is not , 
 's not just a 	 was n't a 
 should not try 	 should not be allowed 
 by prohibiting 	 not allowed 
 not just a 	 including not only 
 are enough to 	 is not sufficient 
 n't , jeffrey 	 not be reached 
 this is difficult 	 it 's not easy 
 do n't be afraid 	 do not be afraid 
 's not the problem 	 is not the point 
 but this does not mean 	 but that does n't mean 
 recently been 	 not long ago , 
 , if they are not 	 in the absence of any 
 can not be completed 	 can not be concluded 
 man , it does n't matter 	 it 's not important 
 , but has not 	 , but do n't 
 unless they are 	 if you do not 
 is relatively 	 is not very 
 currently stopped 	 not running 
 why , what 's up 	 why is itnot working 
 right , yes 	 not checking in , yes 
 and i do not know 	 , and i do n't know 
 regulations prohibit 	 not permit 
 can not be forgotten that 	 should be recalled that 
 not messing with you 	 not joking 
 not comply with the requirements 	 not meet the requirements 
 not bother 	 not coming 
 i have n't . 	 no , it is not . 
 -l - no 	 not after seeing you 
 - what did he do 	 why not liked 
 option is not 	 solution is not 
 exist a 	 not there is 
 but that is no 	 it 's just not 
 not only between the 	 not just between 
 court is not 	 tribunal does not 
 is a consequence 	 has not resulted 
 yes , here 	 not checking in , yes 
 let 's go 	 - he 's not going anywhere 
 does not relate to 	 is not concerned with 
 not keep 	 does not maintain 
 , and he 's not 	 it is not 
 not exclusively 	 not only 
 do n't know , something not 	 were n't 
 this did not mean 	 that does n't mean 
 of lower 	 shall be not less than 
 that 's not how it works 	 it does n't work that way 
 that 's not fair . 	 just is n't fair . 
 the system can not 	 the system fails 
 not recently 	 not lately 
 it did not apply to 	 this convention does not apply to 
 not able 	 not known 
 ; they are not 	 they 're not 
 , it was n't 	 - they 're not 
 did not propose 	 does not provide 
 particularly as a 	 including , but not limited to 
 committee would 	 commission does not 
 be reconciled with 	 is not inconsistent with 
 will not be included 	 will not be part 
 has n't even 	 can not yet 
 - no , wait . 	 i am not . 
 of not 	 not be allowed to 
 why ask about her 	 why not liked 
 both as a 	 this is not only 
 panel is unable to 	 panel can not 
 is not governed 	 are not subject 
 that ai n't natural 	 this is not normal 
 they have not 	 the working group did not 
 that it is not 	 that nothing 
 it will not be possible to 	 it will be impossible to 
 discussions by 	 not discussed 
 will not function properly 	 will not function correctly 
 not ill 	 not feeling ill , mrs. chandler 
 not managed to 	 not have 
 does not meet the requirements 	 does not comply with the requirements 
 because we do n't 	 because we do not 
 am unable to conclude 	 can not conclude 
 not exceeding the 	 not more than 
 's no telling 	 is not certain 
 required not 	 needed not 
 be entitled 	 is not empowered 
 , will not be 	 no longer be 
 was not with 	 was n't with 
 not us , sir 	 not us 
 do not configure 	 does not provide 
 you 're not my dad 	 you 're not my father 
 n't know why not 	 n't heard 
 china is not 	 in the chinese 
 - yes , i have 	 it is not the reason 
 just talk 	 not talking 
 -rrb- did not respond 	 -rrb- did not reply 
 if i am not mistaken 	 if i 'm not mistaken 
 no , not exactly . 	 -no , not really . 
 does not reduce the 	 does not diminish the 
 is not enough , 	 is not sufficient 
 now 's not 	 well , it was n't 
 she 's not your 	 this is n't your 
 it does not contain 	 contains not 
 can not let you 	 ca n't let you 
 - ok , ok 	 not checking in , yes 
 do not try 	 'm not trying 
 n't be the 	 is not the 
 it is not possible . 	 this ca n't be . 
 i 'm not going home 	 i 'm not coming back 
 which have not yet been 	 that remain to be 
 were compelled to 	 can not help but 
 , it ai n't 	 it is not 
 not begin 	 not start 
 not all of the 	 it is not every 
 reality is 	 not really 
 appeared not 	 does n't 
 you just ca n't 	 you are not able 
 that do not constitute 	 which are not 
 did not believe that the 	 do not think the 
 are not connected 	 are not bound 
 contains no 	 does not come 
 , was n't she ? 	 , is it not ? 
 oh , yes , yes . 	 not checking in , yes . 
 to exclude 	 are not limited 
 be difficult to 	 is not easily 
 only then will 	 it was not until 
 this resolution does not 	 this decision does not 
 neither a 	 not 
 they were not 	 they ca n't 
 does not have the jurisdiction 	 is not competent 
 is not subject 	 do not belong 
 why would you film that 	 why is itnot working 
 are n't you ? ! 	 is it not ? 
 's not my friend . 	 's not my girlfriend . 
 and why is 	 well , why not 
 wo n't be 	 is not just 
 're going to 	 're not gonna 
 are not applied 	 do not extend 
 yes , walter 	 not checking in , yes 
 but we did n't 	 but it is not 
 'm sorry , sir . 	 'm sorry i did not . 
 do not agree that 	 do not accept that 
 not just of 	 not only 
 is out 	 was not present 
 let 's go now 	 - he 's not going anywhere 
 that it is not enough for 	 that it is not sufficient that 
 is not produced 	 is not filed 
 never happened . 	 no , i 'm not . 
 it 's unnecessary 	 this is not necessary 
 but i got 	 but i 'm not 
 - they are 	 - you 're not 
 no real 	 not wearing 
 we 're 	 we are not 
 you do n't want to use 	 you do not want to use 
 yet to 	 there has not 
 gaius , no , please . 	 they are not . 
 would not let 	 would not allow 
 do n't agree 	 do not agree 
 not the point 	 not the issue 
 are not covered by 	 shall not be subject to 
 n't like 	 not like 
 - there are no 	 - it 's not 
 is still difficult 	 's not easy 
 that does not happen 	 that is not the case 
 n't worry about 	 not worried about 
 did not include a 	 did not contain a 
 , she was not 	 , she 's not 
 are hard 	 not difficult 
 are not enough . 	 insufficient . 
 do not know 	 did not use 
 not widely 	 there was very little 
 , it will be impossible 	 , it will not be possible 
 was dangerous 	 is not safe 
 no , i wo n't 	 no , it did not 
 that 's not even funny . 	 this is n't funny . 
 really do n't have 	 is not my 
 is not able 	 can only 
 well , it 's true 	 no , i 'm not kidding 
 i need you to listen 	 you 're not listening 
 does not apply in 	 are not subject to 
 not necessarily represent 	 not necessarily 
 not just to 	 , not only for 
 he did n't want 	 he did not want to 
 not that hard 	 not really hard 
 is not clear 	 does not comply 
 as well as being 	 not only is the 
 and , not least 	 last but not least , 
 of being unable to 	 of not being able to 
 must be at least 	 is not less than 
 listens to 	 are not listening to 
 i do n't know whether 	 i am not sure if 
 that was consistent 	 that is not contrary 
 that did not participate 	 who were not involved 
 this does not happen 	 they are not 
 quite impossible 	 not possible 
 do not contribute 	 is not involved 
 a less 	 is not so 
 , and it does not 	 and not part 
 there must 	 it is not possible 
 was insufficient to 	 does not suffice to 
 the commission can not 	 the commission is unable 
 what is all this 	 why the hell not 
 i 'm not hungry . 	 i am not hungry . 
 did not take part in 	 was not involved in 
 confined itself 	 are not limited 
 just wondering 	 was not sure 
 , i am not convinced 	 , i am not persuaded 
 n't go . 	 'm not going . 
 now , listen 	 you 're not listening to me 
 be hard 	 is not easy 
 either does not 	 they did not 
 countries , both 	 country , not 
 , the board did not 	 , the council has not 
 the united states would 	 the us will not 
 commission has no 	 panel is not 
 not your dad 	 not your father 
 not working out 	 n't work at all 
 you 're not dying 	 you 're not gonna die 
 do n't see why 	 does not enable 
 , it was not necessary 	 , you do not need 
 do n't know whether 	 is not known if 
 not going to be easy 	 not gonna be easy 
 it was finally 	 and last but not least 
 must not lose sight of 	 must not forget the 
 i 've been 	 i do not have 
 're not leaving . 	 'm not leaving . 
 i 'm being serious 	 i 'm not being funny 
 well , not exactly 	 uh , not really 
 hey , come on . 	 i am not . 
 had not participated 	 did not respond 
 it was not in 	 he 's not in 
 covenant is not 	 pact is not 
 are adequate 	 is not sufficient 
 can hardly 	 is not possible to 
 " did not 	 does n't 
 is inadequately 	 are not sufficiently 
 or is unavailable 	 or is not available 
 if it is n't 	 if it is not 
 not with 	 are n't you 
 not form part of the 	 not part of the 
 not broken 	 n't broken 
 can not be an 	 is unable to be 
 , he does not 	 , he does n't 
 but not including 	 exception , the 
 is not properly 	 is poorly 
 they may not be 	 they can only be 
 refuses to allow 	 will not permit 
 prohibit the 	 is not permitted 
 must refrain from 	 are not to 
 well , i 'm not 	 i 'm not an actor 
 does n't count 	 does not matter 
 and i 'm not gonna 	 i ai n't going 
 still has n't called 	 i 'm not ready 
 is inadmissible 	 is not acceptable 
 not a very 	 not working 
 have had to be 	 can not help but 
 something is wrong 	 something 's not right 
 - is n't that 	 - we 're not 
 wo n't be me 	 is not me 
 claimant did not provide 	 complainant has not provided 
 not reasonable 	 unfair 
 , do n't i ? 	 , was it not ? 
 and , inter alia , 	 including , but not limited 
 is not yet in 	 has yet to enter into 
 it was ? 	 it 's not ? 
 does not need to 	 's not to 
 and are unable 	 and should not 
 fails to comply 	 does not comply 
 not intend to 	 not the intention of 
 is no damn drill ! 	 is not an exercise . 
